Designator,Mid X,Mid Y,Rotation,Layer
BT1,137.902586,-67.797943,180.0,bottom
SW1,26.672586,-77.480193,0.0,top
SW10,80.822586,-86.030193,0.0,top
SW11,98.872586,-90.280193,0.0,top
SW12,116.922586,-90.280193,0.0,top
SW13,117.444485,-111.347112,352.0,top
SW14,135.318824,-113.859187,352.0,top
SW16,122.922586,-65.527943,180.0,top
SW2,44.722586,-77.480193,0.0,top
SW3,62.772586,-73.230193,0.0,top
SW4,80.822586,-68.980193,0.0,top
SW5,98.872586,-73.230193,0.0,top
SW6,116.922586,-73.230193,0.0,top
SW7,26.672586,-94.530193,0.0,top
SW8,44.722586,-94.530193,0.0,top
SW9,62.772586,-90.280193,0.0,top
SW_15,147.542586,-99.117943,270.0,top
U1,137.922586,-78.907943,270.0,top
